datetime,path,referrer,referrer_path,country,country_name,device,browser,os,event_type
2026-04-04T06:10:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,desktop,Edge,Windows,visit
2026-04-04T07:15:00Z,/simuna/liiketoiminta/,(direct),,NL,Netherlands,mobile,ChromeMobile,iOS,visit
2026-04-05T03:00:00Z,/blog/impact-of-ai/,www.google.com,/,MY,Malaysia,desktop,Chrome,Windows,visit
2026-04-04T20:30:00Z,/simuna/liiketoiminta/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-05T03:55:00Z,/,(direct),,US,United States,desktop,Chrome,Linux,visit
2026-04-04T11:35:00Z,/en/,www.3dbear.io,/,BG,Bulgaria,desktop,Chrome,Windows,pageview
2026-04-04T13:40:00Z,/tags/higher-education/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-05T03:40:00Z,/,(direct),,NL,Netherlands,desktop,Chrome,Linux,visit
2026-04-04T18:45:00Z,/en/privacy/,(direct),,CN,China,desktop,Unknown,Unknown,visit
2026-04-04T23:10:00Z,/,(direct),,US,United States,desktop,Edge,MacOSX,visit
2026-04-04T20:20:00Z,/tiimi/anina-luoma/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T16:15:00Z,/en/asiakastarinat/hygge-koulu/,(direct),,DE,Germany,mobile,ChromeMobile,Android,visit
2026-04-05T02:05:00Z,/blog/impact-of-ai/,www.google.com,/,NG,Nigeria,mobile,ChromeMobile,Android,visit
2026-04-04T07:40:00Z,/tiimi/sara-saloniemi/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-05T01:40:00Z,/asiakastarinat/jamk-robot/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-05T04:15:00Z,/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T18:50:00Z,/en/,www.3dbear.io,/,IT,Italy,mobile,Unknown,Unknown,pageview
2026-04-04T17:15:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T18:10:00Z,/en/asiakastarinat/centria/,(direct),,FR,France,mobile,ChromeMobile,Android,visit
2026-04-04T10:30:00Z,/en/tiimi/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-05T03:45:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T07:40:00Z,/en/simuna/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T15:45:00Z,/blog/impact-of-ai/,(direct),,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T20:30:00Z,/,(direct),,CN,China,desktop,Unknown,Unknown,visit
2026-04-04T08:45:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-05T04:00:00Z,/blog/impact-of-ai/,(direct),,DE,Germany,mobile,ChromeMobile,iOS,visit
2026-04-04T06:55:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T09:10:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,desktop,Chrome,Windows,visit
2026-04-04T18:15:00Z,/blog/impact-of-ai/,www.google.com,/,MA,Morocco,mobile,ChromeMobile,Android,visit
2026-04-04T17:55:00Z,/blog/impact-of-ai/,www.google.com,/,MY,Malaysia,desktop,Chrome,Windows,visit
2026-04-05T01:40:00Z,/en/privacy/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-05T01:40:00Z,/blog/jari-mustonen/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T11:35:00Z,/,www.google.com,/,BG,Bulgaria,desktop,Chrome,Windows,visit
2026-04-04T19:40:00Z,/asiakastarinat/livia/,www.google.com,/,FI,Finland,mobile,ChromeMobile,Android,visit
2026-04-04T19:15:00Z,/en/tiimi/rasmus-borg/,(direct),,US,United States,mobile,ChromeMobile,Android,visit
2026-04-04T15:55:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,desktop,Chrome,MacOSX,visit
2026-04-04T06:40:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T11:05:00Z,/,(direct),,US,United States,desktop,Chrome,Linux,visit
2026-04-05T02:05:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-05T04:30:00Z,/blog/impact-of-ai/,www.google.com,/,BD,Bangladesh,desktop,Chrome,Windows,visit
2026-04-04T10:55:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T15:40:00Z,/blog/impact-of-ai/,www.google.com,/,PK,Pakistan,mobile,MobileSafari,iOS,visit
2026-04-04T11:40:00Z,/,(direct),,US,United States,desktop,Chrome,Linux,visit
2026-04-04T23:40:00Z,/en/privacy/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T08:25:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,iOS,visit
2026-04-04T10:15:00Z,/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T05:00:00Z,/blog/impact-of-ai/,www.google.com,/,AU,Australia,desktop,Chrome,Windows,visit
2026-04-04T12:00:00Z,/asiakastarinat/immersive-space-keuda/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T21:40:00Z,/asiakastarinat/livia/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T17:30:00Z,/asiakastarinat/immersive-space-keuda/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T05:40:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,desktop,Chrome,Windows,visit
2026-04-04T11:15:00Z,/asiakastarinat/hami/,(direct),,CN,China,desktop,Unknown,Unknown,visit
2026-04-04T06:40:00Z,/asiakastarinat/hami/,(direct),,CN,China,mobile,Unknown,Unknown,visit
2026-04-04T12:45:00Z,/en/,www.google.com,/,IN,India,desktop,Chrome,MacOSX,visit
2026-04-04T14:00:00Z,/en/asiakastarinat/xamk/,(direct),,FR,France,mobile,ChromeMobile,Android,visit
2026-04-05T00:45:00Z,/tags/tiimi/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T11:40:00Z,/en/immersive-spaces/,www.3dbear.io,/en/asiakastarinat/circular-economy-game/,BG,Bulgaria,desktop,Chrome,Windows,pageview
2026-04-04T06:30:00Z,/simuna/,(direct),,CN,China,mobile,ChromeMobile,Android,visit
2026-04-04T11:35:00Z,/en/tapahtumat/,www.3dbear.io,/en/immersive-spaces/,BG,Bulgaria,desktop,Chrome,Windows,pageview
2026-04-04T09:35:00Z,/blog/impact-of-ai/,(direct),,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T17:45:00Z,/blog/impact-of-ai/,www.google.com,/,AE,UAE,desktop,Chrome,Linux,visit
2026-04-04T10:40:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,Android,visit
2026-04-04T15:00:00Z,/blog/impact-of-ai/,www.google.com,/,ZA,South Africa,mobile,ChromeMobile,Android,visit
2026-04-04T14:35:00Z,/tiimi/tatja-kekarainen/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T14:40:00Z,/asiakastarinat/sedu/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-05T01:05:00Z,/blog/impact-of-ai/,www.google.com,/,US,United States,mobile,MobileSafari,iOS,visit
2026-04-04T19:35:00Z,/tiimi/,www.google.com,/,FI,Finland,mobile,ChromeMobile,Android,visit
2026-04-04T11:40:00Z,/en/tapahtumat/,www.3dbear.io,/en/asiakastarinat/sakky/,BG,Bulgaria,desktop,Chrome,Windows,pageview
2026-04-04T11:35:00Z,/en/immersive-spaces/,www.3dbear.io,/en/,BG,Bulgaria,desktop,Chrome,Windows,pageview
2026-04-04T06:30:00Z,/asiakastarinat/hami/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T20:45:00Z,/blog/impact-of-ai/,(direct),,US,United States,mobile,ChromeMobile,Android,visit
2026-04-04T08:30:00Z,/asiakastarinat/centria/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T17:20:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,ChromeMobile,iOS,visit
2026-04-04T07:35:00Z,/asiakastarinat/virtuaalinen-metsanhoito/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T19:40:00Z,/blog/impact-of-ai/,(direct),,US,United States,desktop,Chrome,Windows,visit
2026-04-04T07:40:00Z,/en/tapahtumat/,(direct),,SG,Singapore,desktop,Chrome,Windows,visit
2026-04-04T18:00:00Z,/en/contact/,www.3dbear.io,/en/simuna/,OM,Oman,mobile,ChromeMobile,iOS,pageview
2026-04-04T09:35:00Z,/en/blog/karhun-vuosi-2025/,(direct),,NL,Netherlands,mobile,ChromeMobile,Android,visit
2026-04-04T17:40:00Z,/blog/impact-of-ai/,www.google.com,/,UZ,Uzbekistan,mobile,ChromeMobile,Android,visit
2026-04-04T15:30:00Z,/blog/impact-of-ai/,www.google.com,/,IN,India,mobile,OperaMobile,Android,visit
2026-04-04T07:10:00Z,/blog/jari-mustonen/,(direct),,CN,China,desktop,Unknown,Unknown,visit
