datetime,path,referrer,referrer_path,country,device,browser,os,pageviews,visits
2026-04-04T17:15:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T18:10:00Z,/en/asiakastarinat/centria/,(direct),,FR,mobile,ChromeMobile,Android,1,1
2026-04-04T10:30:00Z,/en/tiimi/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-05T03:45:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T07:40:00Z,/en/simuna/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T15:45:00Z,/blog/impact-of-ai/,(direct),,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T20:30:00Z,/,(direct),,CN,desktop,Unknown,Unknown,1,1
2026-04-04T08:45:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-05T04:00:00Z,/blog/impact-of-ai/,(direct),,DE,mobile,ChromeMobile,iOS,1,1
2026-04-04T06:55:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T09:10:00Z,/blog/impact-of-ai/,www.google.com,/,IN,desktop,Chrome,Windows,1,1
2026-04-04T18:15:00Z,/blog/impact-of-ai/,www.google.com,/,MA,mobile,ChromeMobile,Android,1,1
2026-04-04T17:55:00Z,/blog/impact-of-ai/,www.google.com,/,MY,desktop,Chrome,Windows,1,1
2026-04-05T01:40:00Z,/en/privacy/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-05T01:40:00Z,/blog/jari-mustonen/,(direct),,SG,desktop,Chrome,Windows,1,1
2026-04-04T11:35:00Z,/,www.google.com,/,BG,desktop,Chrome,Windows,1,1
2026-04-04T19:40:00Z,/asiakastarinat/livia/,www.google.com,/,FI,mobile,ChromeMobile,Android,1,1
2026-04-04T19:15:00Z,/en/tiimi/rasmus-borg/,(direct),,US,mobile,ChromeMobile,Android,1,1
2026-04-04T15:55:00Z,/blog/impact-of-ai/,www.google.com,/,IN,desktop,Chrome,MacOSX,1,1
2026-04-04T06:40:00Z,/blog/impact-of-ai/,www.google.com,/,IN,mobile,ChromeMobile,Android,1,1
2026-04-04T11:05:00Z,/,(direct),,US,desktop,Chrome,Linux,1,1
